"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+8.63000000000E+008, -7.77972323939E-001, +0.00000000000E+000
+8.63050000000E+008, -7.78404736298E-001, +0.00000000000E+000
+8.63100000000E+008, -7.79320193976E-001, +0.00000000000E+000
+8.63150000000E+008, -7.80107781916E-001, +0.00000000000E+000
+8.63200000000E+008, -7.78381501824E-001, +0.00000000000E+000
+8.63250000000E+008, -7.79361876285E-001, +0.00000000000E+000
+8.63300000000E+008, -7.80743307416E-001, +0.00000000000E+000
+8.63350000000E+008, -7.80338486484E-001, +0.00000000000E+000
+8.63400000000E+008, -7.81825712994E-001, +0.00000000000E+000
+8.63450000000E+008, -7.78583676266E-001, +0.00000000000E+000
+8.63500000000E+008, -7.79549971296E-001, +0.00000000000E+000
+8.63550000000E+008, -7.79039219744E-001, +0.00000000000E+000
+8.63600000000E+008, -7.79186575581E-001, +0.00000000000E+000
+8.63650000000E+008, -7.79861023582E-001, +0.00000000000E+000
+8.63700000000E+008, -7.79447537156E-001, +0.00000000000E+000
+8.63750000000E+008, -7.78724502291E-001, +0.00000000000E+000
+8.63800000000E+008, -7.79143118135E-001, +0.00000000000E+000
+8.63850000000E+008, -7.79966350909E-001, +0.00000000000E+000
+8.63900000000E+008, -7.79433714993E-001, +0.00000000000E+000
+8.63950000000E+008, -7.78828493280E-001, +0.00000000000E+000
+8.64000000000E+008, -7.79830364906E-001, +0.00000000000E+000
+8.64050000000E+008, -7.79907356986E-001, +0.00000000000E+000
+8.64100000000E+008, -7.79358553488E-001, +0.00000000000E+000
+8.64150000000E+008, -7.78770056527E-001, +0.00000000000E+000
+8.64200000000E+008, -7.79957403793E-001, +0.00000000000E+000
+8.64250000000E+008, -7.78221456883E-001, +0.00000000000E+000
+8.64300000000E+008, -7.79068642780E-001, +0.00000000000E+000
+8.64350000000E+008, -7.79021394234E-001, +0.00000000000E+000
+8.64400000000E+008, -7.79250704189E-001, +0.00000000000E+000
+8.64450000000E+008, -7.79804998838E-001, +0.00000000000E+000
+8.64500000000E+008, -7.79091049121E-001, +0.00000000000E+000
+8.64550000000E+008, -7.78770793410E-001, +0.00000000000E+000
+8.64600000000E+008, -7.79087511432E-001, +0.00000000000E+000
+8.64650000000E+008, -7.79851340357E-001, +0.00000000000E+000
+8.64700000000E+008, -7.79628702532E-001, +0.00000000000E+000
+8.64750000000E+008, -7.78692734664E-001, +0.00000000000E+000
+8.64800000000E+008, -7.78289914792E-001, +0.00000000000E+000
+8.64850000000E+008, -7.77848645120E-001, +0.00000000000E+000
+8.64900000000E+008, -7.79432654910E-001, +0.00000000000E+000
+8.64950000000E+008, -7.78856906818E-001, +0.00000000000E+000
+8.65000000000E+008, -7.79152453556E-001, +0.00000000000E+000
+8.65050000000E+008, -7.79055808752E-001, +0.00000000000E+000
+8.65100000000E+008, -7.80495983261E-001, +0.00000000000E+000
+8.65150000000E+008, -7.79368652917E-001, +0.00000000000E+000
+8.65200000000E+008, -7.79825414338E-001, +0.00000000000E+000
+8.65250000000E+008, -7.80049793891E-001, +0.00000000000E+000
+8.65300000000E+008, -7.78905394989E-001, +0.00000000000E+000
+8.65350000000E+008, -7.78610953639E-001, +0.00000000000E+000
+8.65400000000E+008, -7.81509808150E-001, +0.00000000000E+000
+8.65450000000E+008, -7.78585317892E-001, +0.00000000000E+000
+8.65500000000E+008, -7.78887899662E-001, +0.00000000000E+000
+8.65550000000E+008, -7.79470254179E-001, +0.00000000000E+000
+8.65600000000E+008, -7.78727146568E-001, +0.00000000000E+000
+8.65650000000E+008, -7.79909441376E-001, +0.00000000000E+000
+8.65700000000E+008, -7.78328001859E-001, +0.00000000000E+000
+8.65750000000E+008, -7.78105039926E-001, +0.00000000000E+000
+8.65800000000E+008, -7.78793686256E-001, +0.00000000000E+000
+8.65850000000E+008, -7.79172423118E-001, +0.00000000000E+000
+8.65900000000E+008, -7.79110654054E-001, +0.00000000000E+000
