"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+8.68000000000E+008, -1.33206952331E+001, +0.00000000000E+000
+8.76160000000E+008, -1.57009446762E+001, +0.00000000000E+000
+8.84320000000E+008, -1.84431200397E+001, +0.00000000000E+000
+8.92480000000E+008, -1.84000463716E+001, +0.00000000000E+000
+9.00640000000E+008, -1.54866364834E+001, +0.00000000000E+000
+9.08800000000E+008, -1.27156660116E+001, +0.00000000000E+000
+9.16960000000E+008, -1.07705592644E+001, +0.00000000000E+000
+9.25120000000E+008, -9.35924428995E+000, +0.00000000000E+000
+9.33280000000E+008, -8.24518050067E+000, +0.00000000000E+000
+9.41440000000E+008, -7.55735623831E+000, +0.00000000000E+000
+9.49600000000E+008, -7.12288023242E+000, +0.00000000000E+000
+9.57760000000E+008, -6.49540922174E+000, +0.00000000000E+000
+9.65920000000E+008, -6.01975005123E+000, +0.00000000000E+000
+9.74080000000E+008, -5.53022160255E+000, +0.00000000000E+000
+9.82240000000E+008, -5.21297801878E+000, +0.00000000000E+000
+9.90400000000E+008, -4.99396475711E+000, +0.00000000000E+000
+9.98560000000E+008, -4.66394451196E+000, +0.00000000000E+000
+1.00672000000E+009, -4.39979720799E+000, +0.00000000000E+000
+1.01488000000E+009, -4.11048926346E+000, +0.00000000000E+000
+1.02304000000E+009, -3.96987950908E+000, +0.00000000000E+000
+1.03120000000E+009, -3.78181477677E+000, +0.00000000000E+000
+1.03936000000E+009, -3.49176476102E+000, +0.00000000000E+000
+1.04752000000E+009, -3.21212728017E+000, +0.00000000000E+000
+1.05568000000E+009, -2.91217356900E+000, +0.00000000000E+000
+1.06384000000E+009, -2.63269941219E+000, +0.00000000000E+000
+1.07200000000E+009, -2.33312375110E+000, +0.00000000000E+000
+1.08016000000E+009, -2.15287473447E+000, +0.00000000000E+000
+1.08832000000E+009, -2.09553673463E+000, +0.00000000000E+000
+1.09648000000E+009, -2.14370200057E+000, +0.00000000000E+000
+1.10464000000E+009, -2.23181625420E+000, +0.00000000000E+000
+1.11280000000E+009, -2.34747521753E+000, +0.00000000000E+000
+1.12096000000E+009, -2.49628082631E+000, +0.00000000000E+000
+1.12912000000E+009, -2.67598435070E+000, +0.00000000000E+000
+1.13728000000E+009, -2.85948149945E+000, +0.00000000000E+000
+1.14544000000E+009, -3.03908789865E+000, +0.00000000000E+000
+1.15360000000E+009, -3.20898252202E+000, +0.00000000000E+000
+1.16176000000E+009, -3.40843807854E+000, +0.00000000000E+000
+1.16992000000E+009, -3.63917658531E+000, +0.00000000000E+000
+1.17808000000E+009, -3.87957659476E+000, +0.00000000000E+000
+1.18624000000E+009, -4.13995244482E+000, +0.00000000000E+000
+1.19440000000E+009, -4.38841290579E+000, +0.00000000000E+000
+1.20256000000E+009, -4.56045623294E+000, +0.00000000000E+000
+1.21072000000E+009, -4.71574541491E+000, +0.00000000000E+000
+1.21888000000E+009, -4.89744566796E+000, +0.00000000000E+000
+1.22704000000E+009, -5.06104285925E+000, +0.00000000000E+000
+1.23520000000E+009, -5.23599148065E+000, +0.00000000000E+000
+1.24336000000E+009, -5.44495250257E+000, +0.00000000000E+000
+1.25152000000E+009, -5.51798630956E+000, +0.00000000000E+000
+1.25968000000E+009, -5.70130052441E+000, +0.00000000000E+000
+1.26784000000E+009, -5.86236426002E+000, +0.00000000000E+000
+1.27600000000E+009, -5.96304374531E+000, +0.00000000000E+000
+1.28416000000E+009, -6.06237058886E+000, +0.00000000000E+000
+1.29232000000E+009, -6.18100324581E+000, +0.00000000000E+000
+1.30048000000E+009, -6.23861100502E+000, +0.00000000000E+000
+1.30864000000E+009, -6.30177438385E+000, +0.00000000000E+000
+1.31680000000E+009, -6.43977692329E+000, +0.00000000000E+000
+1.32496000000E+009, -6.38550019335E+000, +0.00000000000E+000
+1.33312000000E+009, -6.35810792867E+000, +0.00000000000E+000
+1.34128000000E+009, -6.41466467643E+000, +0.00000000000E+000
+1.34944000000E+009, -6.47476852848E+000, +0.00000000000E+000
+1.35760000000E+009, -6.54716892628E+000, +0.00000000000E+000
+1.36576000000E+009, -6.58391701346E+000, +0.00000000000E+000
+1.37392000000E+009, -6.37841883662E+000, +0.00000000000E+000
+1.38208000000E+009, -6.15068697223E+000, +0.00000000000E+000
+1.39024000000E+009, -6.21647616364E+000, +0.00000000000E+000
+1.39840000000E+009, -6.19274551516E+000, +0.00000000000E+000
+1.40656000000E+009, -6.24702865161E+000, +0.00000000000E+000
+1.41472000000E+009, -6.34609009461E+000, +0.00000000000E+000
+1.42288000000E+009, -6.42190860174E+000, +0.00000000000E+000
+1.43104000000E+009, -6.47846755848E+000, +0.00000000000E+000
