"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+2.40000000000E+009, -1.20826164824E+001, +0.00000000000E+000
+2.40050000000E+009, -1.20401814559E+001, +0.00000000000E+000
+2.40100000000E+009, -1.19985570430E+001, +0.00000000000E+000
+2.40150000000E+009, -1.19570726479E+001, +0.00000000000E+000
+2.40200000000E+009, -1.19132357006E+001, +0.00000000000E+000
+2.40250000000E+009, -1.18718896481E+001, +0.00000000000E+000
+2.40300000000E+009, -1.18265883361E+001, +0.00000000000E+000
+2.40350000000E+009, -1.17808643568E+001, +0.00000000000E+000
+2.40400000000E+009, -1.17299063614E+001, +0.00000000000E+000
+2.40450000000E+009, -1.16852079471E+001, +0.00000000000E+000
+2.40500000000E+009, -1.16372224976E+001, +0.00000000000E+000
+2.40550000000E+009, -1.15868947579E+001, +0.00000000000E+000
+2.40600000000E+009, -1.15390749185E+001, +0.00000000000E+000
+2.40650000000E+009, -1.14948133549E+001, +0.00000000000E+000
+2.40700000000E+009, -1.14561718635E+001, +0.00000000000E+000
+2.40750000000E+009, -1.14170082666E+001, +0.00000000000E+000
+2.40800000000E+009, -1.13885120818E+001, +0.00000000000E+000
+2.40850000000E+009, -1.13568199255E+001, +0.00000000000E+000
+2.40900000000E+009, -1.13286355009E+001, +0.00000000000E+000
+2.40950000000E+009, -1.13002925160E+001, +0.00000000000E+000
+2.41000000000E+009, -1.12719069713E+001, +0.00000000000E+000
+2.41050000000E+009, -1.12425991686E+001, +0.00000000000E+000
+2.41100000000E+009, -1.12141219571E+001, +0.00000000000E+000
+2.41150000000E+009, -1.11895063660E+001, +0.00000000000E+000
+2.41200000000E+009, -1.11632039401E+001, +0.00000000000E+000
+2.41250000000E+009, -1.11406565355E+001, +0.00000000000E+000
+2.41300000000E+009, -1.11200018113E+001, +0.00000000000E+000
+2.41350000000E+009, -1.10972604083E+001, +0.00000000000E+000
+2.41400000000E+009, -1.10750139118E+001, +0.00000000000E+000
+2.41450000000E+009, -1.10510441810E+001, +0.00000000000E+000
+2.41500000000E+009, -1.10259442175E+001, +0.00000000000E+000
+2.41550000000E+009, -1.10003793736E+001, +0.00000000000E+000
+2.41600000000E+009, -1.09738514974E+001, +0.00000000000E+000
+2.41650000000E+009, -1.09488253518E+001, +0.00000000000E+000
+2.41700000000E+009, -1.09214198402E+001, +0.00000000000E+000
+2.41750000000E+009, -1.08943686725E+001, +0.00000000000E+000
+2.41800000000E+009, -1.08647452842E+001, +0.00000000000E+000
+2.41850000000E+009, -1.08339796023E+001, +0.00000000000E+000
+2.41900000000E+009, -1.07988113442E+001, +0.00000000000E+000
+2.41950000000E+009, -1.07627748915E+001, +0.00000000000E+000
+2.42000000000E+009, -1.07198571473E+001, +0.00000000000E+000
+2.42050000000E+009, -1.06780317348E+001, +0.00000000000E+000
+2.42100000000E+009, -1.06342255342E+001, +0.00000000000E+000
+2.42150000000E+009, -1.05876070382E+001, +0.00000000000E+000
+2.42200000000E+009, -1.05426398406E+001, +0.00000000000E+000
+2.42250000000E+009, -1.04991773732E+001, +0.00000000000E+000
+2.42300000000E+009, -1.04537672979E+001, +0.00000000000E+000
+2.42350000000E+009, -1.04059636466E+001, +0.00000000000E+000
+2.42400000000E+009, -1.03571172675E+001, +0.00000000000E+000
+2.42450000000E+009, -1.03049999454E+001, +0.00000000000E+000
+2.42500000000E+009, -1.02512113397E+001, +0.00000000000E+000
+2.42550000000E+009, -1.01953931443E+001, +0.00000000000E+000
+2.42600000000E+009, -1.01394839094E+001, +0.00000000000E+000
+2.42650000000E+009, -1.00799223824E+001, +0.00000000000E+000
+2.42700000000E+009, -1.00206686824E+001, +0.00000000000E+000
+2.42750000000E+009, -9.95875013277E+000, +0.00000000000E+000
+2.42800000000E+009, -9.90262749100E+000, +0.00000000000E+000
+2.42850000000E+009, -9.84655547009E+000, +0.00000000000E+000
+2.42900000000E+009, -9.79360159443E+000, +0.00000000000E+000
+2.42950000000E+009, -9.74432619695E+000, +0.00000000000E+000
+2.43000000000E+009, -9.69619956252E+000, +0.00000000000E+000
+2.43050000000E+009, -9.65640003918E+000, +0.00000000000E+000
+2.43100000000E+009, -9.61397251876E+000, +0.00000000000E+000
+2.43150000000E+009, -9.57423202131E+000, +0.00000000000E+000
+2.43200000000E+009, -9.53799635921E+000, +0.00000000000E+000
+2.43250000000E+009, -9.49983931500E+000, +0.00000000000E+000
+2.43300000000E+009, -9.46396533029E+000, +0.00000000000E+000
+2.43350000000E+009, -9.42816059397E+000, +0.00000000000E+000
+2.43400000000E+009, -9.39472353529E+000, +0.00000000000E+000
+2.43450000000E+009, -9.36250757740E+000, +0.00000000000E+000
+2.43500000000E+009, -9.32865435740E+000, +0.00000000000E+000
+2.43550000000E+009, -9.29582720689E+000, +0.00000000000E+000
+2.43600000000E+009, -9.26186031644E+000, +0.00000000000E+000
+2.43650000000E+009, -9.22527233008E+000, +0.00000000000E+000
+2.43700000000E+009, -9.18656592548E+000, +0.00000000000E+000
+2.43750000000E+009, -9.14753049847E+000, +0.00000000000E+000
+2.43800000000E+009, -9.10425152574E+000, +0.00000000000E+000
+2.43850000000E+009, -9.06214792190E+000, +0.00000000000E+000
+2.43900000000E+009, -9.01934811719E+000, +0.00000000000E+000
+2.43950000000E+009, -8.97523077906E+000, +0.00000000000E+000
+2.44000000000E+009, -8.93436819365E+000, +0.00000000000E+000
+2.44050000000E+009, -8.89260526191E+000, +0.00000000000E+000
+2.44100000000E+009, -8.85037607338E+000, +0.00000000000E+000
+2.44150000000E+009, -8.80872739836E+000, +0.00000000000E+000
+2.44200000000E+009, -8.76431977582E+000, +0.00000000000E+000
+2.44250000000E+009, -8.71992350333E+000, +0.00000000000E+000
+2.44300000000E+009, -8.67321479277E+000, +0.00000000000E+000
+2.44350000000E+009, -8.62309223700E+000, +0.00000000000E+000
+2.44400000000E+009, -8.57073750281E+000, +0.00000000000E+000
+2.44450000000E+009, -8.51743532605E+000, +0.00000000000E+000
+2.44500000000E+009, -8.46180100539E+000, +0.00000000000E+000
+2.44550000000E+009, -8.40461619126E+000, +0.00000000000E+000
+2.44600000000E+009, -8.34582636939E+000, +0.00000000000E+000
+2.44650000000E+009, -8.28713995026E+000, +0.00000000000E+000
+2.44700000000E+009, -8.22952473227E+000, +0.00000000000E+000
+2.44750000000E+009, -8.17013169341E+000, +0.00000000000E+000
+2.44800000000E+009, -8.11638306753E+000, +0.00000000000E+000
+2.44850000000E+009, -8.06295368961E+000, +0.00000000000E+000
+2.44900000000E+009, -8.01108203104E+000, +0.00000000000E+000
+2.44950000000E+009, -7.96181117887E+000, +0.00000000000E+000
+2.45000000000E+009, -7.91357569087E+000, +0.00000000000E+000
+2.45050000000E+009, -7.86276857130E+000, +0.00000000000E+000
+2.45100000000E+009, -7.81536599013E+000, +0.00000000000E+000
+2.45150000000E+009, -7.76666957898E+000, +0.00000000000E+000
+2.45200000000E+009, -7.71956545535E+000, +0.00000000000E+000
+2.45250000000E+009, -7.67353576430E+000, +0.00000000000E+000
+2.45300000000E+009, -7.63129128136E+000, +0.00000000000E+000
+2.45350000000E+009, -7.58903578184E+000, +0.00000000000E+000
+2.45400000000E+009, -7.54827771248E+000, +0.00000000000E+000
+2.45450000000E+009, -7.51012450725E+000, +0.00000000000E+000
+2.45500000000E+009, -7.47078928376E+000, +0.00000000000E+000
+2.45550000000E+009, -7.43262230272E+000, +0.00000000000E+000
+2.45600000000E+009, -7.39167289993E+000, +0.00000000000E+000
+2.45650000000E+009, -7.35094576706E+000, +0.00000000000E+000
+2.45700000000E+009, -7.30887970768E+000, +0.00000000000E+000
+2.45750000000E+009, -7.26668014841E+000, +0.00000000000E+000
+2.45800000000E+009, -7.22431673003E+000, +0.00000000000E+000
+2.45850000000E+009, -7.18351472964E+000, +0.00000000000E+000
+2.45900000000E+009, -7.14123957055E+000, +0.00000000000E+000
+2.45950000000E+009, -7.10280954877E+000, +0.00000000000E+000
+2.46000000000E+009, -7.06401937077E+000, +0.00000000000E+000
+2.46050000000E+009, -7.02616914906E+000, +0.00000000000E+000
+2.46100000000E+009, -6.99003144271E+000, +0.00000000000E+000
+2.46150000000E+009, -6.95563124863E+000, +0.00000000000E+000
+2.46200000000E+009, -6.92441641013E+000, +0.00000000000E+000
+2.46250000000E+009, -6.89127763521E+000, +0.00000000000E+000
+2.46300000000E+009, -6.86267053141E+000, +0.00000000000E+000
+2.46350000000E+009, -6.83601421371E+000, +0.00000000000E+000
+2.46400000000E+009, -6.81173595069E+000, +0.00000000000E+000
+2.46450000000E+009, -6.78854383429E+000, +0.00000000000E+000
+2.46500000000E+009, -6.76630190903E+000, +0.00000000000E+000
+2.46550000000E+009, -6.74565812576E+000, +0.00000000000E+000
+2.46600000000E+009, -6.72486485141E+000, +0.00000000000E+000
+2.46650000000E+009, -6.70813376543E+000, +0.00000000000E+000
+2.46700000000E+009, -6.69150820427E+000, +0.00000000000E+000
+2.46750000000E+009, -6.67375907582E+000, +0.00000000000E+000
+2.46800000000E+009, -6.65886198083E+000, +0.00000000000E+000
+2.46850000000E+009, -6.64225340409E+000, +0.00000000000E+000
+2.46900000000E+009, -6.62638654151E+000, +0.00000000000E+000
+2.46950000000E+009, -6.61024024758E+000, +0.00000000000E+000
+2.47000000000E+009, -6.58375969972E+000, +0.00000000000E+000
+2.47050000000E+009, -6.56975884072E+000, +0.00000000000E+000
+2.47100000000E+009, -6.55674332033E+000, +0.00000000000E+000
+2.47150000000E+009, -6.54671164428E+000, +0.00000000000E+000
+2.47200000000E+009, -6.53421062047E+000, +0.00000000000E+000
+2.47250000000E+009, -6.52510678782E+000, +0.00000000000E+000
+2.47300000000E+009, -6.51876078856E+000, +0.00000000000E+000
+2.47350000000E+009, -6.51004810281E+000, +0.00000000000E+000
+2.47400000000E+009, -6.50548390226E+000, +0.00000000000E+000
+2.47450000000E+009, -6.50027682843E+000, +0.00000000000E+000
+2.47500000000E+009, -6.49763557638E+000, +0.00000000000E+000
+2.47550000000E+009, -6.49379339512E+000, +0.00000000000E+000
+2.47600000000E+009, -6.49307838643E+000, +0.00000000000E+000
+2.47650000000E+009, -6.48967841834E+000, +0.00000000000E+000
+2.47700000000E+009, -6.48582759806E+000, +0.00000000000E+000
+2.47750000000E+009, -6.48264202268E+000, +0.00000000000E+000
+2.47800000000E+009, -6.47638221116E+000, +0.00000000000E+000
+2.47850000000E+009, -6.47007757468E+000, +0.00000000000E+000
+2.47900000000E+009, -6.46160593961E+000, +0.00000000000E+000
+2.47950000000E+009, -6.45372341796E+000, +0.00000000000E+000
+2.48000000000E+009, -6.44402141582E+000, +0.00000000000E+000
+2.48050000000E+009, -6.43804193140E+000, +0.00000000000E+000
+2.48100000000E+009, -6.43057002353E+000, +0.00000000000E+000
+2.48150000000E+009, -6.42568778835E+000, +0.00000000000E+000
+2.48200000000E+009, -6.42242226977E+000, +0.00000000000E+000
+2.48250000000E+009, -6.42049869021E+000, +0.00000000000E+000
+2.48300000000E+009, -6.42140516889E+000, +0.00000000000E+000
+2.48350000000E+009, -6.42308116410E+000, +0.00000000000E+000
+2.48400000000E+009, -6.42444288690E+000, +0.00000000000E+000
+2.48450000000E+009, -6.42801277189E+000, +0.00000000000E+000
+2.48500000000E+009, -6.43076919413E+000, +0.00000000000E+000
+2.48550000000E+009, -6.43610821554E+000, +0.00000000000E+000
+2.48600000000E+009, -6.44187391609E+000, +0.00000000000E+000
+2.48650000000E+009, -6.44926810750E+000, +0.00000000000E+000
+2.48700000000E+009, -6.45847114058E+000, +0.00000000000E+000
+2.48750000000E+009, -6.46748736713E+000, +0.00000000000E+000
+2.48800000000E+009, -6.47864805020E+000, +0.00000000000E+000
+2.48850000000E+009, -6.48990778409E+000, +0.00000000000E+000
+2.48900000000E+009, -6.50224177609E+000, +0.00000000000E+000
