"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+8.68000000000E+008, -2.65969595015E+000, +0.00000000000E+000
+8.76160000000E+008, -2.29586508017E+000, +0.00000000000E+000
+8.84320000000E+008, -2.07503646130E+000, +0.00000000000E+000
+8.92480000000E+008, -1.91822097888E+000, +0.00000000000E+000
+9.00640000000E+008, -1.78272320547E+000, +0.00000000000E+000
+9.08800000000E+008, -1.67646770197E+000, +0.00000000000E+000
+9.16960000000E+008, -1.61158269994E+000, +0.00000000000E+000
+9.25120000000E+008, -1.53753606515E+000, +0.00000000000E+000
+9.33280000000E+008, -1.47771577432E+000, +0.00000000000E+000
+9.41440000000E+008, -1.42471670911E+000, +0.00000000000E+000
+9.49600000000E+008, -1.37389384528E+000, +0.00000000000E+000
+9.57760000000E+008, -1.30500866352E+000, +0.00000000000E+000
+9.65920000000E+008, -1.25429825280E+000, +0.00000000000E+000
+9.74080000000E+008, -1.22250649878E+000, +0.00000000000E+000
+9.82240000000E+008, -1.21031398695E+000, +0.00000000000E+000
+9.90400000000E+008, -1.19297378123E+000, +0.00000000000E+000
+9.98560000000E+008, -1.17458049582E+000, +0.00000000000E+000
+1.00672000000E+009, -1.15943544341E+000, +0.00000000000E+000
+1.01488000000E+009, -1.15456119137E+000, +0.00000000000E+000
+1.02304000000E+009, -1.13450677814E+000, +0.00000000000E+000
+1.03120000000E+009, -1.11077734542E+000, +0.00000000000E+000
+1.03936000000E+009, -1.08403692869E+000, +0.00000000000E+000
+1.04752000000E+009, -1.07082815817E+000, +0.00000000000E+000
+1.05568000000E+009, -1.06167288799E+000, +0.00000000000E+000
+1.06384000000E+009, -1.06793113137E+000, +0.00000000000E+000
+1.07200000000E+009, -1.06815205903E+000, +0.00000000000E+000
+1.08016000000E+009, -1.07045260944E+000, +0.00000000000E+000
+1.08832000000E+009, -1.09204988123E+000, +0.00000000000E+000
+1.09648000000E+009, -1.11053097592E+000, +0.00000000000E+000
+1.10464000000E+009, -1.14748082277E+000, +0.00000000000E+000
+1.11280000000E+009, -1.17815704718E+000, +0.00000000000E+000
+1.12096000000E+009, -1.21193274383E+000, +0.00000000000E+000
+1.12912000000E+009, -1.25207097696E+000, +0.00000000000E+000
+1.13728000000E+009, -1.30103538009E+000, +0.00000000000E+000
+1.14544000000E+009, -1.37185798071E+000, +0.00000000000E+000
+1.15360000000E+009, -1.41903720736E+000, +0.00000000000E+000
+1.16176000000E+009, -1.44658173787E+000, +0.00000000000E+000
+1.16992000000E+009, -1.45490997048E+000, +0.00000000000E+000
+1.17808000000E+009, -1.44364883640E+000, +0.00000000000E+000
+1.18624000000E+009, -1.51161417879E+000, +0.00000000000E+000
+1.19440000000E+009, -1.60577160637E+000, +0.00000000000E+000
+1.20256000000E+009, -1.74085524162E+000, +0.00000000000E+000
+1.21072000000E+009, -1.92091862957E+000, +0.00000000000E+000
+1.21888000000E+009, -2.14214090398E+000, +0.00000000000E+000
+1.22704000000E+009, -2.38038699649E+000, +0.00000000000E+000
+1.23520000000E+009, -2.67846769482E+000, +0.00000000000E+000
+1.24336000000E+009, -2.87361280397E+000, +0.00000000000E+000
+1.25152000000E+009, -3.08657882302E+000, +0.00000000000E+000
+1.25968000000E+009, -3.35526723711E+000, +0.00000000000E+000
+1.26784000000E+009, -3.53285246050E+000, +0.00000000000E+000
+1.27600000000E+009, -3.38979414530E+000, +0.00000000000E+000
+1.28416000000E+009, -2.88731670498E+000, +0.00000000000E+000
+1.29232000000E+009, -2.43186338396E+000, +0.00000000000E+000
+1.30048000000E+009, -2.10736775100E+000, +0.00000000000E+000
+1.30864000000E+009, -2.00953634803E+000, +0.00000000000E+000
+1.31680000000E+009, -1.94210202099E+000, +0.00000000000E+000
+1.32496000000E+009, -1.85368105011E+000, +0.00000000000E+000
+1.33312000000E+009, -1.65791248060E+000, +0.00000000000E+000
+1.34128000000E+009, -1.41651430011E+000, +0.00000000000E+000
+1.34944000000E+009, -1.29322159399E+000, +0.00000000000E+000
+1.35760000000E+009, -1.24649051964E+000, +0.00000000000E+000
+1.36576000000E+009, -1.22069774091E+000, +0.00000000000E+000
+1.37392000000E+009, -1.21782574095E+000, +0.00000000000E+000
+1.38208000000E+009, -1.26599784199E+000, +0.00000000000E+000
+1.39024000000E+009, -1.35086611612E+000, +0.00000000000E+000
+1.39840000000E+009, -1.42559990847E+000, +0.00000000000E+000
+1.40656000000E+009, -1.48055128885E+000, +0.00000000000E+000
+1.41472000000E+009, -1.50346918007E+000, +0.00000000000E+000
+1.42288000000E+009, -1.44029746284E+000, +0.00000000000E+000
+1.43104000000E+009, -1.43373671014E+000, +0.00000000000E+000
+1.43920000000E+009, -1.53308049505E+000, +0.00000000000E+000
+1.44736000000E+009, -1.58631740819E+000, +0.00000000000E+000
+1.45552000000E+009, -1.61945074422E+000, +0.00000000000E+000
+1.46368000000E+009, -1.73182717301E+000, +0.00000000000E+000
+1.47184000000E+009, -1.83128292262E+000, +0.00000000000E+000
+1.48000000000E+009, -1.84105319577E+000, +0.00000000000E+000
+1.48816000000E+009, -1.90200359900E+000, +0.00000000000E+000
+1.49632000000E+009, -1.97436747626E+000, +0.00000000000E+000
+1.50448000000E+009, -2.04386782494E+000, +0.00000000000E+000
+1.51264000000E+009, -2.06817922345E+000, +0.00000000000E+000
+1.52080000000E+009, -2.04767284823E+000, +0.00000000000E+000
+1.52896000000E+009, -1.99966139688E+000, +0.00000000000E+000
+1.53712000000E+009, -1.94723099651E+000, +0.00000000000E+000
+1.54528000000E+009, -1.90392280442E+000, +0.00000000000E+000
+1.55344000000E+009, -1.85411053627E+000, +0.00000000000E+000
+1.56160000000E+009, -1.83133653485E+000, +0.00000000000E+000
+1.56976000000E+009, -1.81285620163E+000, +0.00000000000E+000
+1.57792000000E+009, -1.80620968563E+000, +0.00000000000E+000
+1.58608000000E+009, -1.83561546383E+000, +0.00000000000E+000
+1.59424000000E+009, -1.86453198372E+000, +0.00000000000E+000
+1.60240000000E+009, -1.87979690578E+000, +0.00000000000E+000
+1.61056000000E+009, -1.88405863032E+000, +0.00000000000E+000
+1.61872000000E+009, -1.91450727834E+000, +0.00000000000E+000
+1.62688000000E+009, -1.97444051867E+000, +0.00000000000E+000
+1.63504000000E+009, -2.04293966144E+000, +0.00000000000E+000
+1.64320000000E+009, -2.13401178710E+000, +0.00000000000E+000
+1.65136000000E+009, -2.22231628530E+000, +0.00000000000E+000
+1.65952000000E+009, -2.32892755741E+000, +0.00000000000E+000
+1.66768000000E+009, -2.49696570485E+000, +0.00000000000E+000
+1.67584000000E+009, -2.71813000282E+000, +0.00000000000E+000
+1.68400000000E+009, -2.99426038393E+000, +0.00000000000E+000
+1.69216000000E+009, -3.41423852518E+000, +0.00000000000E+000
+1.70032000000E+009, -3.85989991104E+000, +0.00000000000E+000
+1.70848000000E+009, -4.35094354928E+000, +0.00000000000E+000
+1.71664000000E+009, -4.71128105420E+000, +0.00000000000E+000
+1.72480000000E+009, -5.01979501484E+000, +0.00000000000E+000
+1.73296000000E+009, -5.33044127657E+000, +0.00000000000E+000
+1.74112000000E+009, -5.65770029243E+000, +0.00000000000E+000
+1.74928000000E+009, -6.15103527173E+000, +0.00000000000E+000
+1.75744000000E+009, -6.79430359924E+000, +0.00000000000E+000
+1.76560000000E+009, -7.66487229323E+000, +0.00000000000E+000
