"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+2.40000000000E+009, -1.56385640466E+001, +0.00000000000E+000
+2.40050000000E+009, -1.56128475787E+001, +0.00000000000E+000
+2.40100000000E+009, -1.55880091285E+001, +0.00000000000E+000
+2.40150000000E+009, -1.55723879938E+001, +0.00000000000E+000
+2.40200000000E+009, -1.55630726781E+001, +0.00000000000E+000
+2.40250000000E+009, -1.55541401333E+001, +0.00000000000E+000
+2.40300000000E+009, -1.55471158727E+001, +0.00000000000E+000
+2.40350000000E+009, -1.55472655511E+001, +0.00000000000E+000
+2.40400000000E+009, -1.55421800605E+001, +0.00000000000E+000
+2.40450000000E+009, -1.55346595846E+001, +0.00000000000E+000
+2.40500000000E+009, -1.55243798525E+001, +0.00000000000E+000
+2.40550000000E+009, -1.55080878270E+001, +0.00000000000E+000
+2.40600000000E+009, -1.54896997146E+001, +0.00000000000E+000
+2.40650000000E+009, -1.54661818569E+001, +0.00000000000E+000
+2.40700000000E+009, -1.54437421804E+001, +0.00000000000E+000
+2.40750000000E+009, -1.54146211266E+001, +0.00000000000E+000
+2.40800000000E+009, -1.53862555776E+001, +0.00000000000E+000
+2.40850000000E+009, -1.53500627856E+001, +0.00000000000E+000
+2.40900000000E+009, -1.53084552084E+001, +0.00000000000E+000
+2.40950000000E+009, -1.52710127446E+001, +0.00000000000E+000
+2.41000000000E+009, -1.52333658767E+001, +0.00000000000E+000
+2.41050000000E+009, -1.51876731897E+001, +0.00000000000E+000
+2.41100000000E+009, -1.51528757165E+001, +0.00000000000E+000
+2.41150000000E+009, -1.51079281773E+001, +0.00000000000E+000
+2.41200000000E+009, -1.50710846015E+001, +0.00000000000E+000
+2.41250000000E+009, -1.50292165574E+001, +0.00000000000E+000
+2.41300000000E+009, -1.49872366498E+001, +0.00000000000E+000
+2.41350000000E+009, -1.49549669646E+001, +0.00000000000E+000
+2.41400000000E+009, -1.49254532165E+001, +0.00000000000E+000
+2.41450000000E+009, -1.49025035555E+001, +0.00000000000E+000
+2.41500000000E+009, -1.48803495842E+001, +0.00000000000E+000
+2.41550000000E+009, -1.47062510337E+001, +0.00000000000E+000
+2.41600000000E+009, -1.46897348244E+001, +0.00000000000E+000
+2.41650000000E+009, -1.46820988333E+001, +0.00000000000E+000
+2.41700000000E+009, -1.46756787287E+001, +0.00000000000E+000
+2.41750000000E+009, -1.46722626130E+001, +0.00000000000E+000
+2.41800000000E+009, -1.46727353679E+001, +0.00000000000E+000
+2.41850000000E+009, -1.46808479480E+001, +0.00000000000E+000
+2.41900000000E+009, -1.46906219509E+001, +0.00000000000E+000
+2.41950000000E+009, -1.47017873319E+001, +0.00000000000E+000
+2.42000000000E+009, -1.47195838088E+001, +0.00000000000E+000
+2.42050000000E+009, -1.47374968374E+001, +0.00000000000E+000
+2.42100000000E+009, -1.47507265459E+001, +0.00000000000E+000
+2.42150000000E+009, -1.47703625604E+001, +0.00000000000E+000
