"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+8.63000000000E+008, -2.79013427261E+000, +0.00000000000E+000
+8.63050000000E+008, -2.78887917496E+000, +0.00000000000E+000
+8.63100000000E+008, -2.78815780137E+000, +0.00000000000E+000
+8.63150000000E+008, -2.78479740763E+000, +0.00000000000E+000
+8.63200000000E+008, -2.78318546008E+000, +0.00000000000E+000
+8.63250000000E+008, -2.78262210646E+000, +0.00000000000E+000
+8.63300000000E+008, -2.78030053745E+000, +0.00000000000E+000
+8.63350000000E+008, -2.77913138350E+000, +0.00000000000E+000
+8.63400000000E+008, -2.77714606116E+000, +0.00000000000E+000
+8.63450000000E+008, -2.77500132020E+000, +0.00000000000E+000
+8.63500000000E+008, -2.77388063802E+000, +0.00000000000E+000
+8.63550000000E+008, -2.77307946984E+000, +0.00000000000E+000
+8.63600000000E+008, -2.77217520783E+000, +0.00000000000E+000
+8.63650000000E+008, -2.76894900080E+000, +0.00000000000E+000
+8.63700000000E+008, -2.76777147856E+000, +0.00000000000E+000
+8.63750000000E+008, -2.76657531542E+000, +0.00000000000E+000
+8.63800000000E+008, -2.76566105091E+000, +0.00000000000E+000
+8.63850000000E+008, -2.76342274046E+000, +0.00000000000E+000
+8.63900000000E+008, -2.76217306308E+000, +0.00000000000E+000
+8.63950000000E+008, -2.75994441297E+000, +0.00000000000E+000
+8.64000000000E+008, -2.75901664748E+000, +0.00000000000E+000
+8.64050000000E+008, -2.75785771660E+000, +0.00000000000E+000
+8.64100000000E+008, -2.75576330655E+000, +0.00000000000E+000
+8.64150000000E+008, -2.75409635151E+000, +0.00000000000E+000
+8.64200000000E+008, -2.75228712097E+000, +0.00000000000E+000
+8.64250000000E+008, -2.75272890105E+000, +0.00000000000E+000
+8.64300000000E+008, -2.74861157238E+000, +0.00000000000E+000
+8.64350000000E+008, -2.74799356356E+000, +0.00000000000E+000
+8.64400000000E+008, -2.74773844305E+000, +0.00000000000E+000
+8.64450000000E+008, -2.74443763175E+000, +0.00000000000E+000
+8.64500000000E+008, -2.74389418957E+000, +0.00000000000E+000
+8.64550000000E+008, -2.74288398809E+000, +0.00000000000E+000
