"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+8.63000000000E+008, -4.16253476941E+000, +0.00000000000E+000
+8.63050000000E+008, -4.16404671437E+000, +0.00000000000E+000
+8.63100000000E+008, -4.16374946410E+000, +0.00000000000E+000
+8.63150000000E+008, -4.16208139421E+000, +0.00000000000E+000
+8.63200000000E+008, -4.16303822696E+000, +0.00000000000E+000
+8.63250000000E+008, -4.16245742779E+000, +0.00000000000E+000
+8.63300000000E+008, -4.16228401246E+000, +0.00000000000E+000
+8.63350000000E+008, -4.16121702374E+000, +0.00000000000E+000
+8.63400000000E+008, -4.16068916583E+000, +0.00000000000E+000
+8.63450000000E+008, -4.16114209886E+000, +0.00000000000E+000
+8.63500000000E+008, -4.16163444847E+000, +0.00000000000E+000
+8.63550000000E+008, -4.16133330746E+000, +0.00000000000E+000
+8.63600000000E+008, -4.16210892879E+000, +0.00000000000E+000
+8.63650000000E+008, -4.16061890983E+000, +0.00000000000E+000
+8.63700000000E+008, -4.16132540963E+000, +0.00000000000E+000
+8.63750000000E+008, -4.16009373089E+000, +0.00000000000E+000
+8.63800000000E+008, -4.16060628294E+000, +0.00000000000E+000
+8.63850000000E+008, -4.16034413132E+000, +0.00000000000E+000
+8.63900000000E+008, -4.16002405774E+000, +0.00000000000E+000
+8.63950000000E+008, -4.15903118065E+000, +0.00000000000E+000
+8.64000000000E+008, -4.15858348446E+000, +0.00000000000E+000
+8.64050000000E+008, -4.15797745609E+000, +0.00000000000E+000
+8.64100000000E+008, -4.15896116158E+000, +0.00000000000E+000
+8.64150000000E+008, -4.15904047581E+000, +0.00000000000E+000
+8.64200000000E+008, -4.15648241530E+000, +0.00000000000E+000
+8.64250000000E+008, -4.15818444422E+000, +0.00000000000E+000
+8.64300000000E+008, -4.15732937085E+000, +0.00000000000E+000
+8.64350000000E+008, -4.15529886128E+000, +0.00000000000E+000
+8.64400000000E+008, -4.15457089967E+000, +0.00000000000E+000
+8.64450000000E+008, -4.15330596132E+000, +0.00000000000E+000
+8.64500000000E+008, -4.15288418399E+000, +0.00000000000E+000
+8.64550000000E+008, -4.15231837254E+000, +0.00000000000E+000
+8.64600000000E+008, -4.15099628914E+000, +0.00000000000E+000
+8.64650000000E+008, -4.15203803581E+000, +0.00000000000E+000
+8.64700000000E+008, -4.15209810525E+000, +0.00000000000E+000
+8.64750000000E+008, -4.15108044856E+000, +0.00000000000E+000
+8.64800000000E+008, -4.15063468978E+000, +0.00000000000E+000
+8.64850000000E+008, -4.14896187816E+000, +0.00000000000E+000
+8.64900000000E+008, -4.14923156458E+000, +0.00000000000E+000
+8.64950000000E+008, -4.14914668683E+000, +0.00000000000E+000
+8.65000000000E+008, -4.14769531498E+000, +0.00000000000E+000
+8.65050000000E+008, -4.14769808503E+000, +0.00000000000E+000
+8.65100000000E+008, -4.14485795345E+000, +0.00000000000E+000
+8.65150000000E+008, -4.14283694647E+000, +0.00000000000E+000
+8.65200000000E+008, -4.14333020535E+000, +0.00000000000E+000
+8.65250000000E+008, -4.14279842012E+000, +0.00000000000E+000
+8.65300000000E+008, -4.14008586123E+000, +0.00000000000E+000
+8.65350000000E+008, -4.14018003568E+000, +0.00000000000E+000
+8.65400000000E+008, -4.13893136984E+000, +0.00000000000E+000
+8.65450000000E+008, -4.13722590307E+000, +0.00000000000E+000
+8.65500000000E+008, -4.13718966787E+000, +0.00000000000E+000
+8.65550000000E+008, -4.13650858068E+000, +0.00000000000E+000
+8.65600000000E+008, -4.13491014425E+000, +0.00000000000E+000
+8.65650000000E+008, -4.13376360171E+000, +0.00000000000E+000
+8.65700000000E+008, -4.13313508092E+000, +0.00000000000E+000
+8.65750000000E+008, -4.13220593063E+000, +0.00000000000E+000
+8.65800000000E+008, -4.13069211645E+000, +0.00000000000E+000
+8.65850000000E+008, -4.12833429532E+000, +0.00000000000E+000
+8.65900000000E+008, -4.12904336443E+000, +0.00000000000E+000
+8.65950000000E+008, -4.12800581526E+000, +0.00000000000E+000
+8.66000000000E+008, -4.12436156221E+000, +0.00000000000E+000
+8.66050000000E+008, -4.12652888422E+000, +0.00000000000E+000
+8.66100000000E+008, -4.12340869143E+000, +0.00000000000E+000
+8.66150000000E+008, -4.12268772322E+000, +0.00000000000E+000
+8.66200000000E+008, -4.12125888637E+000, +0.00000000000E+000
+8.66250000000E+008, -4.11983037320E+000, +0.00000000000E+000
+8.66300000000E+008, -4.11889156896E+000, +0.00000000000E+000
+8.66350000000E+008, -4.11914419519E+000, +0.00000000000E+000
+8.66400000000E+008, -4.11611790005E+000, +0.00000000000E+000
+8.66450000000E+008, -4.11527807394E+000, +0.00000000000E+000
+8.66500000000E+008, -4.11461144944E+000, +0.00000000000E+000
+8.66550000000E+008, -4.11308260238E+000, +0.00000000000E+000
+8.66600000000E+008, -4.11085195260E+000, +0.00000000000E+000
+8.66650000000E+008, -4.11054699379E+000, +0.00000000000E+000
+8.66700000000E+008, -4.10878680346E+000, +0.00000000000E+000
+8.66750000000E+008, -4.10747694184E+000, +0.00000000000E+000
+8.66800000000E+008, -4.10536584567E+000, +0.00000000000E+000
+8.66850000000E+008, -4.10620231555E+000, +0.00000000000E+000
+8.66900000000E+008, -4.10386782322E+000, +0.00000000000E+000
+8.66950000000E+008, -4.10442479434E+000, +0.00000000000E+000
+8.67000000000E+008, -4.10311436941E+000, +0.00000000000E+000
+8.67050000000E+008, -4.10062299041E+000, +0.00000000000E+000
+8.67100000000E+008, -4.09977888950E+000, +0.00000000000E+000
+8.67150000000E+008, -4.09751778758E+000, +0.00000000000E+000
+8.67200000000E+008, -4.09552255116E+000, +0.00000000000E+000
+8.67250000000E+008, -4.09454365015E+000, +0.00000000000E+000
+8.67300000000E+008, -4.09404581111E+000, +0.00000000000E+000
+8.67350000000E+008, -4.09151470115E+000, +0.00000000000E+000
+8.67400000000E+008, -4.09029712696E+000, +0.00000000000E+000
+8.67450000000E+008, -4.08993751312E+000, +0.00000000000E+000
+8.67500000000E+008, -4.08751170189E+000, +0.00000000000E+000
+8.67550000000E+008, -4.08589542596E+000, +0.00000000000E+000
+8.67600000000E+008, -4.08379851228E+000, +0.00000000000E+000
+8.67650000000E+008, -4.08213595378E+000, +0.00000000000E+000
+8.67700000000E+008, -4.08133258131E+000, +0.00000000000E+000
+8.67750000000E+008, -4.07986918783E+000, +0.00000000000E+000
+8.67800000000E+008, -4.07899228684E+000, +0.00000000000E+000
+8.67850000000E+008, -4.07727956310E+000, +0.00000000000E+000
+8.67900000000E+008, -4.07519430289E+000, +0.00000000000E+000
+8.67950000000E+008, -4.07377567231E+000, +0.00000000000E+000
+8.68000000000E+008, -4.07126131028E+000, +0.00000000000E+000
