"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+8.68000000000E+008, -7.67834611450E-001, +0.00000000000E+000
+8.76160000000E+008, -7.69656777217E-001, +0.00000000000E+000
+8.84320000000E+008, -7.67958582739E-001, +0.00000000000E+000
+8.92480000000E+008, -7.57149217807E-001, +0.00000000000E+000
+9.00640000000E+008, -7.54447402278E-001, +0.00000000000E+000
+9.08800000000E+008, -7.89850265228E-001, +0.00000000000E+000
+9.16960000000E+008, -8.29094436014E-001, +0.00000000000E+000
+9.25120000000E+008, -8.86996982127E-001, +0.00000000000E+000
+9.33280000000E+008, -9.79915242928E-001, +0.00000000000E+000
+9.41440000000E+008, -1.07447458404E+000, +0.00000000000E+000
+9.49600000000E+008, -1.17464134688E+000, +0.00000000000E+000
+9.57760000000E+008, -1.30320947873E+000, +0.00000000000E+000
+9.65920000000E+008, -1.42349044234E+000, +0.00000000000E+000
+9.74080000000E+008, -1.53093692540E+000, +0.00000000000E+000
+9.82240000000E+008, -1.69193353113E+000, +0.00000000000E+000
+9.90400000000E+008, -1.85144730672E+000, +0.00000000000E+000
+9.98560000000E+008, -1.94649537881E+000, +0.00000000000E+000
+1.00672000000E+009, -2.02758715696E+000, +0.00000000000E+000
+1.01488000000E+009, -2.00730075011E+000, +0.00000000000E+000
+1.02304000000E+009, -2.13046131017E+000, +0.00000000000E+000
+1.03120000000E+009, -2.21547842669E+000, +0.00000000000E+000
+1.03936000000E+009, -2.23857685462E+000, +0.00000000000E+000
+1.04752000000E+009, -2.23252217838E+000, +0.00000000000E+000
+1.05568000000E+009, -2.19682478864E+000, +0.00000000000E+000
+1.06384000000E+009, -2.17333178887E+000, +0.00000000000E+000
+1.07200000000E+009, -2.28909141257E+000, +0.00000000000E+000
+1.08016000000E+009, -2.39166628360E+000, +0.00000000000E+000
+1.08832000000E+009, -2.46321418621E+000, +0.00000000000E+000
+1.09648000000E+009, -2.69954437795E+000, +0.00000000000E+000
+1.10464000000E+009, -3.01677894293E+000, +0.00000000000E+000
+1.11280000000E+009, -3.30649821337E+000, +0.00000000000E+000
+1.12096000000E+009, -3.56079486050E+000, +0.00000000000E+000
+1.12912000000E+009, -3.64996354355E+000, +0.00000000000E+000
+1.13728000000E+009, -3.77183335546E+000, +0.00000000000E+000
+1.14544000000E+009, -3.99212678839E+000, +0.00000000000E+000
+1.15360000000E+009, -4.35212214501E+000, +0.00000000000E+000
+1.16176000000E+009, -4.65919445686E+000, +0.00000000000E+000
+1.16992000000E+009, -4.74430874830E+000, +0.00000000000E+000
+1.17808000000E+009, -5.08575538736E+000, +0.00000000000E+000
+1.18624000000E+009, -5.84556833894E+000, +0.00000000000E+000
+1.19440000000E+009, -6.64764023374E+000, +0.00000000000E+000
+1.20256000000E+009, -7.35805553371E+000, +0.00000000000E+000
+1.21072000000E+009, -7.87429837233E+000, +0.00000000000E+000
