"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+8.63000000000E+008, -1.68111671571E+002, +0.00000000000E+000
+8.63050000000E+008, -1.68223299810E+002, +0.00000000000E+000
+8.63100000000E+008, -1.68335422885E+002, +0.00000000000E+000
+8.63150000000E+008, -1.68461195557E+002, +0.00000000000E+000
+8.63200000000E+008, -1.68564650302E+002, +0.00000000000E+000
+8.63250000000E+008, -1.68661633801E+002, +0.00000000000E+000
+8.63300000000E+008, -1.68792253968E+002, +0.00000000000E+000
+8.63350000000E+008, -1.68906548117E+002, +0.00000000000E+000
+8.63400000000E+008, -1.69028310398E+002, +0.00000000000E+000
+8.63450000000E+008, -1.69145101667E+002, +0.00000000000E+000
+8.63500000000E+008, -1.69249099496E+002, +0.00000000000E+000
+8.63550000000E+008, -1.69375750263E+002, +0.00000000000E+000
+8.63600000000E+008, -1.69509308981E+002, +0.00000000000E+000
+8.63650000000E+008, -1.69611025574E+002, +0.00000000000E+000
+8.63700000000E+008, -1.69739068816E+002, +0.00000000000E+000
+8.63750000000E+008, -1.69853813962E+002, +0.00000000000E+000
+8.63800000000E+008, -1.69982464397E+002, +0.00000000000E+000
+8.63850000000E+008, -1.70101196035E+002, +0.00000000000E+000
+8.63900000000E+008, -1.70215723721E+002, +0.00000000000E+000
+8.63950000000E+008, -1.70333499873E+002, +0.00000000000E+000
+8.64000000000E+008, -1.70467267405E+002, +0.00000000000E+000
+8.64050000000E+008, -1.70562186490E+002, +0.00000000000E+000
+8.64100000000E+008, -1.70696549485E+002, +0.00000000000E+000
+8.64150000000E+008, -1.70833513897E+002, +0.00000000000E+000
+8.64200000000E+008, -1.70932669021E+002, +0.00000000000E+000
+8.64250000000E+008, -1.71046636711E+002, +0.00000000000E+000
+8.64300000000E+008, -1.71176321830E+002, +0.00000000000E+000
+8.64350000000E+008, -1.71303531015E+002, +0.00000000000E+000
+8.64400000000E+008, -1.71421772766E+002, +0.00000000000E+000
+8.64450000000E+008, -1.71525003995E+002, +0.00000000000E+000
+8.64500000000E+008, -1.71670976106E+002, +0.00000000000E+000
+8.64550000000E+008, -1.71775810262E+002, +0.00000000000E+000
+8.64600000000E+008, -1.71893710656E+002, +0.00000000000E+000
+8.64650000000E+008, -1.72016074703E+002, +0.00000000000E+000
+8.64700000000E+008, -1.72147299334E+002, +0.00000000000E+000
+8.64750000000E+008, -1.72272667917E+002, +0.00000000000E+000
+8.64800000000E+008, -1.72404470694E+002, +0.00000000000E+000
+8.64850000000E+008, -1.72510677005E+002, +0.00000000000E+000
+8.64900000000E+008, -1.72638173052E+002, +0.00000000000E+000
+8.64950000000E+008, -1.72754120735E+002, +0.00000000000E+000
+8.65000000000E+008, -1.72870536573E+002, +0.00000000000E+000
+8.65050000000E+008, -1.72984234769E+002, +0.00000000000E+000
+8.65100000000E+008, -1.73103992798E+002, +0.00000000000E+000
+8.65150000000E+008, -1.73226615723E+002, +0.00000000000E+000
+8.65200000000E+008, -1.73343130334E+002, +0.00000000000E+000
+8.65250000000E+008, -1.73459314341E+002, +0.00000000000E+000
+8.65300000000E+008, -1.73585606212E+002, +0.00000000000E+000
+8.65350000000E+008, -1.73709186042E+002, +0.00000000000E+000
+8.65400000000E+008, -1.73833073996E+002, +0.00000000000E+000
+8.65450000000E+008, -1.73951503483E+002, +0.00000000000E+000
+8.65500000000E+008, -1.74073870989E+002, +0.00000000000E+000
+8.65550000000E+008, -1.74189978546E+002, +0.00000000000E+000
+8.65600000000E+008, -1.74303945274E+002, +0.00000000000E+000
+8.65650000000E+008, -1.74433724278E+002, +0.00000000000E+000
+8.65700000000E+008, -1.74558080614E+002, +0.00000000000E+000
+8.65750000000E+008, -1.74669021758E+002, +0.00000000000E+000
+8.65800000000E+008, -1.74773142118E+002, +0.00000000000E+000
+8.65850000000E+008, -1.74905724667E+002, +0.00000000000E+000
+8.65900000000E+008, -1.75020807724E+002, +0.00000000000E+000
+8.65950000000E+008, -1.75136098118E+002, +0.00000000000E+000
+8.66000000000E+008, -1.75252848886E+002, +0.00000000000E+000
+8.66050000000E+008, -1.75379248350E+002, +0.00000000000E+000
+8.66100000000E+008, -1.75474367630E+002, +0.00000000000E+000
+8.66150000000E+008, -1.75623811578E+002, +0.00000000000E+000
+8.66200000000E+008, -1.75712315625E+002, +0.00000000000E+000
+8.66250000000E+008, -1.75837014885E+002, +0.00000000000E+000
+8.66300000000E+008, -1.75951675876E+002, +0.00000000000E+000
+8.66350000000E+008, -1.76073308311E+002, +0.00000000000E+000
+8.66400000000E+008, -1.76186603319E+002, +0.00000000000E+000
+8.66450000000E+008, -1.76325161206E+002, +0.00000000000E+000
+8.66500000000E+008, -1.76445783153E+002, +0.00000000000E+000
+8.66550000000E+008, -1.76554609901E+002, +0.00000000000E+000
+8.66600000000E+008, -1.76689979491E+002, +0.00000000000E+000
+8.66650000000E+008, -1.76807457480E+002, +0.00000000000E+000
+8.66700000000E+008, -1.76940560728E+002, +0.00000000000E+000
+8.66750000000E+008, -1.77018233060E+002, +0.00000000000E+000
+8.66800000000E+008, -1.77172404455E+002, +0.00000000000E+000
+8.66850000000E+008, -1.77282548581E+002, +0.00000000000E+000
+8.66900000000E+008, -1.77397582302E+002, +0.00000000000E+000
+8.66950000000E+008, -1.77518135229E+002, +0.00000000000E+000
+8.67000000000E+008, -1.77644777441E+002, +0.00000000000E+000
+8.67050000000E+008, -1.77766351133E+002, +0.00000000000E+000
+8.67100000000E+008, -1.77904533300E+002, +0.00000000000E+000
+8.67150000000E+008, -1.78016211630E+002, +0.00000000000E+000
+8.67200000000E+008, -1.78150169602E+002, +0.00000000000E+000
+8.67250000000E+008, -1.78285869627E+002, +0.00000000000E+000
+8.67300000000E+008, -1.78405329756E+002, +0.00000000000E+000
+8.67350000000E+008, -1.78500532479E+002, +0.00000000000E+000
+8.67400000000E+008, -1.78658767588E+002, +0.00000000000E+000
+8.67450000000E+008, -1.78797628781E+002, +0.00000000000E+000
+8.67500000000E+008, -1.78915962166E+002, +0.00000000000E+000
+8.67550000000E+008, -1.79029399043E+002, +0.00000000000E+000
+8.67600000000E+008, -1.79156717263E+002, +0.00000000000E+000
+8.67650000000E+008, -1.79296117882E+002, +0.00000000000E+000
+8.67700000000E+008, -1.79418775608E+002, +0.00000000000E+000
+8.67750000000E+008, -1.79577067398E+002, +0.00000000000E+000
+8.67800000000E+008, -1.79702624601E+002, +0.00000000000E+000
+8.67850000000E+008, -1.79809389963E+002, +0.00000000000E+000
+8.67900000000E+008, -1.79944902069E+002, +0.00000000000E+000
+8.67950000000E+008, +1.79913530217E+002, +0.00000000000E+000
+8.68000000000E+008, +1.79793602904E+002, +0.00000000000E+000
+8.68050000000E+008, +1.79653373885E+002, +0.00000000000E+000
+8.68100000000E+008, +1.79490330138E+002, +0.00000000000E+000
+8.68150000000E+008, +1.79354208726E+002, +0.00000000000E+000
+8.68200000000E+008, +1.79208519282E+002, +0.00000000000E+000
+8.68250000000E+008, +1.79061587033E+002, +0.00000000000E+000
+8.68300000000E+008, +1.78946844463E+002, +0.00000000000E+000
+8.68350000000E+008, +1.78789313215E+002, +0.00000000000E+000
+8.68400000000E+008, +1.78663391789E+002, +0.00000000000E+000
+8.68450000000E+008, +1.78522457651E+002, +0.00000000000E+000
+8.68500000000E+008, +1.78354916169E+002, +0.00000000000E+000
+8.68550000000E+008, +1.78208057680E+002, +0.00000000000E+000
+8.68600000000E+008, +1.78074455023E+002, +0.00000000000E+000
+8.68650000000E+008, +1.77934910873E+002, +0.00000000000E+000
+8.68700000000E+008, +1.77779897467E+002, +0.00000000000E+000
+8.68750000000E+008, +1.77634195330E+002, +0.00000000000E+000
+8.68800000000E+008, +1.77480822001E+002, +0.00000000000E+000
+8.68850000000E+008, +1.77328365453E+002, +0.00000000000E+000
+8.68900000000E+008, +1.77163003428E+002, +0.00000000000E+000
+8.68950000000E+008, +1.77022328324E+002, +0.00000000000E+000
+8.69000000000E+008, +1.76867990759E+002, +0.00000000000E+000
+8.69050000000E+008, +1.76726321945E+002, +0.00000000000E+000
+8.69100000000E+008, +1.76563038267E+002, +0.00000000000E+000
+8.69150000000E+008, +1.76396602426E+002, +0.00000000000E+000
+8.69200000000E+008, +1.76251733914E+002, +0.00000000000E+000
+8.69250000000E+008, +1.76090629796E+002, +0.00000000000E+000
+8.69300000000E+008, +1.75922363640E+002, +0.00000000000E+000
+8.69350000000E+008, +1.75750306798E+002, +0.00000000000E+000
+8.69400000000E+008, +1.75615420493E+002, +0.00000000000E+000
+8.69450000000E+008, +1.75438850044E+002, +0.00000000000E+000
+8.69500000000E+008, +1.75271510473E+002, +0.00000000000E+000
+8.69550000000E+008, +1.75107850983E+002, +0.00000000000E+000
+8.69600000000E+008, +1.74942756907E+002, +0.00000000000E+000
+8.69650000000E+008, +1.74772524681E+002, +0.00000000000E+000
+8.69700000000E+008, +1.74607778947E+002, +0.00000000000E+000
+8.69750000000E+008, +1.74450599293E+002, +0.00000000000E+000
+8.69800000000E+008, +1.74276923315E+002, +0.00000000000E+000
+8.69850000000E+008, +1.74112580345E+002, +0.00000000000E+000
+8.69900000000E+008, +1.73939791889E+002, +0.00000000000E+000
+8.69950000000E+008, +1.73765486639E+002, +0.00000000000E+000
+8.70000000000E+008, +1.73586877578E+002, +0.00000000000E+000
+8.70050000000E+008, +1.73427318206E+002, +0.00000000000E+000
+8.70100000000E+008, +1.73244765232E+002, +0.00000000000E+000
+8.70150000000E+008, +1.73092336190E+002, +0.00000000000E+000
+8.70200000000E+008, +1.72909035497E+002, +0.00000000000E+000
+8.70250000000E+008, +1.72744866110E+002, +0.00000000000E+000
+8.70300000000E+008, +1.72568298171E+002, +0.00000000000E+000
+8.70350000000E+008, +1.72408411650E+002, +0.00000000000E+000
+8.70400000000E+008, +1.72232424162E+002, +0.00000000000E+000
+8.70450000000E+008, +1.72056211956E+002, +0.00000000000E+000
+8.70500000000E+008, +1.71900883301E+002, +0.00000000000E+000
+8.70550000000E+008, +1.71710868654E+002, +0.00000000000E+000
+8.70600000000E+008, +1.71551792426E+002, +0.00000000000E+000
+8.70650000000E+008, +1.71382582172E+002, +0.00000000000E+000
+8.70700000000E+008, +1.71202030832E+002, +0.00000000000E+000
+8.70750000000E+008, +1.71024430348E+002, +0.00000000000E+000
+8.70800000000E+008, +1.70874526284E+002, +0.00000000000E+000
+8.70850000000E+008, +1.70676027873E+002, +0.00000000000E+000
+8.70900000000E+008, +1.70511659006E+002, +0.00000000000E+000
+8.70950000000E+008, +1.70341519559E+002, +0.00000000000E+000
+8.71000000000E+008, +1.70171936688E+002, +0.00000000000E+000
+8.71050000000E+008, +1.69997887811E+002, +0.00000000000E+000
+8.71100000000E+008, +1.69847600440E+002, +0.00000000000E+000
+8.71150000000E+008, +1.69644638177E+002, +0.00000000000E+000
+8.71200000000E+008, +1.69493708702E+002, +0.00000000000E+000
+8.71250000000E+008, +1.69311147001E+002, +0.00000000000E+000
+8.71300000000E+008, +1.69146514736E+002, +0.00000000000E+000
+8.71350000000E+008, +1.68960806367E+002, +0.00000000000E+000
+8.71400000000E+008, +1.68799794882E+002, +0.00000000000E+000
+8.71450000000E+008, +1.68613285977E+002, +0.00000000000E+000
+8.71500000000E+008, +1.68460770244E+002, +0.00000000000E+000
+8.71550000000E+008, +1.68277539161E+002, +0.00000000000E+000
+8.71600000000E+008, +1.68115099738E+002, +0.00000000000E+000
+8.71650000000E+008, +1.67955106398E+002, +0.00000000000E+000
+8.71700000000E+008, +1.67773440425E+002, +0.00000000000E+000
+8.71750000000E+008, +1.67604063850E+002, +0.00000000000E+000
+8.71800000000E+008, +1.67414328888E+002, +0.00000000000E+000
+8.71850000000E+008, +1.67274131933E+002, +0.00000000000E+000
+8.71900000000E+008, +1.67091971682E+002, +0.00000000000E+000
+8.71950000000E+008, +1.66940192701E+002, +0.00000000000E+000
+8.72000000000E+008, +1.66763047655E+002, +0.00000000000E+000
+8.72050000000E+008, +1.66595661409E+002, +0.00000000000E+000
+8.72100000000E+008, +1.66428532138E+002, +0.00000000000E+000
+8.72150000000E+008, +1.66262432436E+002, +0.00000000000E+000
+8.72200000000E+008, +1.66093686468E+002, +0.00000000000E+000
+8.72250000000E+008, +1.65927405701E+002, +0.00000000000E+000
+8.72300000000E+008, +1.65747592539E+002, +0.00000000000E+000
+8.72350000000E+008, +1.65579578004E+002, +0.00000000000E+000
+8.72400000000E+008, +1.65428315981E+002, +0.00000000000E+000
+8.72450000000E+008, +1.65248837103E+002, +0.00000000000E+000
+8.72500000000E+008, +1.65097526388E+002, +0.00000000000E+000
+8.72550000000E+008, +1.64926503999E+002, +0.00000000000E+000
+8.72600000000E+008, +1.64766653244E+002, +0.00000000000E+000
+8.72650000000E+008, +1.64589590000E+002, +0.00000000000E+000
+8.72700000000E+008, +1.64430632630E+002, +0.00000000000E+000
+8.72750000000E+008, +1.64301913951E+002, +0.00000000000E+000
+8.72800000000E+008, +1.64111282158E+002, +0.00000000000E+000
+8.72850000000E+008, +1.63932935693E+002, +0.00000000000E+000
+8.72900000000E+008, +1.63795244290E+002, +0.00000000000E+000
+8.72950000000E+008, +1.63620928859E+002, +0.00000000000E+000
+8.73000000000E+008, +1.63433630096E+002, +0.00000000000E+000
