"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+8.68000000000E+008, -4.20572259999E+000, +0.00000000000E+000
+8.76160000000E+008, -4.17139701054E+000, +0.00000000000E+000
+8.84320000000E+008, -4.33021929911E+000, +0.00000000000E+000
+8.92480000000E+008, -4.39167472379E+000, +0.00000000000E+000
+9.00640000000E+008, -4.51248583061E+000, +0.00000000000E+000
+9.08800000000E+008, -4.64926425416E+000, +0.00000000000E+000
+9.16960000000E+008, -4.75135118899E+000, +0.00000000000E+000
+9.25120000000E+008, -4.90864612904E+000, +0.00000000000E+000
+9.33280000000E+008, -5.03003716235E+000, +0.00000000000E+000
+9.41440000000E+008, -5.17884615698E+000, +0.00000000000E+000
+9.49600000000E+008, -5.23375065489E+000, +0.00000000000E+000
+9.57760000000E+008, -5.23768549791E+000, +0.00000000000E+000
+9.65920000000E+008, -5.30260036606E+000, +0.00000000000E+000
+9.74080000000E+008, -5.38724880321E+000, +0.00000000000E+000
+9.82240000000E+008, -5.58463022440E+000, +0.00000000000E+000
+9.90400000000E+008, -5.71344975414E+000, +0.00000000000E+000
+9.98560000000E+008, -5.76654285449E+000, +0.00000000000E+000
+1.00672000000E+009, -5.83406297144E+000, +0.00000000000E+000
+1.01488000000E+009, -5.76321487683E+000, +0.00000000000E+000
+1.02304000000E+009, -5.53751697132E+000, +0.00000000000E+000
+1.03120000000E+009, -5.45786266923E+000, +0.00000000000E+000
+1.03936000000E+009, -5.26582904323E+000, +0.00000000000E+000
+1.04752000000E+009, -5.11232703161E+000, +0.00000000000E+000
+1.05568000000E+009, -4.82874210682E+000, +0.00000000000E+000
+1.06384000000E+009, -4.54582778410E+000, +0.00000000000E+000
+1.07200000000E+009, -4.34576569319E+000, +0.00000000000E+000
+1.08016000000E+009, -4.18982450228E+000, +0.00000000000E+000
+1.08832000000E+009, -4.01888104852E+000, +0.00000000000E+000
+1.09648000000E+009, -3.93655982156E+000, +0.00000000000E+000
+1.10464000000E+009, -4.03200855862E+000, +0.00000000000E+000
+1.11280000000E+009, -4.11436013706E+000, +0.00000000000E+000
+1.12096000000E+009, -3.69958575114E+000, +0.00000000000E+000
+1.12912000000E+009, -3.33505048457E+000, +0.00000000000E+000
+1.13728000000E+009, -3.05755008225E+000, +0.00000000000E+000
+1.14544000000E+009, -2.84532818468E+000, +0.00000000000E+000
+1.15360000000E+009, -2.68370431540E+000, +0.00000000000E+000
+1.16176000000E+009, -2.50494129386E+000, +0.00000000000E+000
+1.16992000000E+009, -2.29288915287E+000, +0.00000000000E+000
